Датум на билтен,СВР,ПС на внесување,Општа област,Област на криминал,Дело,Датум на случување,Време на случување,Општина,Локација,Настан,Штета,Корист
11/5/2014,СВР БИТОЛА,ПО за БПС РЕСЕН,Примена на полициски овластувања,Извршени увиди,Извршени увиди по сообраќајни незгоди - со телесни повреди,11/5/2014,11:10:00 AM,РЕСЕН,А-3-Макази,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово","200,000.00 ден",0.00 ден
11/5/2014,СВР БИТОЛА,ПС-ОН ПРИЛЕП,Кривични дела,Кривични дела за кои гонењето се превзема по приватна тужба,Измама - п.т.,11/5/2014,3:00:00 PM,ПРИЛЕП,ул.Кочо Рацин ,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово","200,000.00 ден","200,000.00 ден"
11/5/2014,СВР БИТОЛА,ПС-ОН ПРИЛЕП,Кривични дела,Кривични дела за кои гонењето се превзема по приватна тужба,Кражба - п.т.,11/5/2014,8:00:00 PM,ПРИЛЕП,Плоштад М.А. Ченто,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово","7,000.00 ден","7,000.00 ден"
11/5/2014,СВР БИТОЛА,ПС-ОН ПРИЛЕП,Кривични дела,Кривични дела за кои гонењето се превзема по службена должност,"Кражба на електрична енергија, топлинска енергија или природен гас",11/5/2014,9:30:00 AM,ПРИЛЕП,с.Десово  СО-Долнени,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово",0.00 ден,0.00 ден
11/5/2014,СВР БИТОЛА,ПС-ОН ПРИЛЕП,Кривични дела,Кривични дела за кои гонењето се превзема по службена должност,Тешка кражба,11/5/2014,8:15:00 AM,ПРИЛЕП,с.Лениште,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово","10,000.00 ден","10,000.00 ден"
11/5/2014,СВР БИТОЛА,ПС-ОН ПРИЛЕП,Кривични дела,Кривични дела за кои гонењето се превзема по службена должност,Тешка кражба,11/5/2014,11:00:00 AM,ПРИЛЕП,Маркова чешма,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово","10,000.00 ден","10,000.00 ден"
11/4/2014,СВР БИТОЛА,ПС-ОН БИТОЛА,Кривични дела,Кривични дела за кои гонењето се превзема по приватна тужба,Загрозување на сигурноста - п.т.,11/4/2014,3:45:00 PM,БИТОЛА,телефонски,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово",0.00 ден,0.00 ден
11/4/2014,СВР БИТОЛА,ПС-ОН БИТОЛА,Кривични дела,Кривични дела за кои гонењето се превзема по приватна тужба,Кражба - п.т.,11/4/2014,5:45:00 PM,БИТОЛА,ул.Таки Даскалот,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово",0.00 ден,"7,000.00 ден"
11/4/2014,СВР БИТОЛА,ПС-ОН БИТОЛА,Кривични дела,Кривични дела за кои гонењето се превзема по приватна тужба,Оштетување туѓи предмети - п.т.,11/4/2014,10:30:00 AM,БИТОЛА,с. Драгожани,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово","3,000.00 ден",0.00 ден
11/4/2014,СВР БИТОЛА,ПС-ОН БИТОЛА,Кривични дела,Кривични дела за кои гонењето се превзема по приватна тужба,Оштетување туѓи предмети - п.т.,11/4/2014,10:35:00 AM,БИТОЛА,ул.Превалец бр.15,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово",0.00 ден,0.00 ден
11/4/2014,СВР БИТОЛА,ПС-ОН БИТОЛА,Кривични дела,Кривични дела за кои гонењето се превзема по службена должност,Кражба,11/4/2014,2:00:00 PM,БИТОЛА,ОУК.Охридски,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово",0.00 ден,"8,000.00 ден"
11/4/2014,СВР БИТОЛА,ПС-ОН БИТОЛА,Кривични дела,Кривични дела за кои гонењето се превзема по службена должност,Кражба,11/4/2014,5:00:00 PM,БИТОЛА,с.Лознани,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово",0.00 ден,0.00 ден
11/4/2014,СВР БИТОЛА,ПС-ОН БИТОЛА,Кривични дела,Кривични дела за кои гонењето се превзема по службена должност,Кражба,11/4/2014,8:00:00 PM,БИТОЛА,Македонска,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово",0.00 ден,"4,500.00 ден"
11/4/2014,СВР БИТОЛА,ПС-ОН БИТОЛА,Кривични дела,Кривични дела за кои гонењето се превзема по службена должност,Кражба во обид,11/3/2014,10:10:00 PM,БИТОЛА,ул.„ Широка“ бб ,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово",300.00 ден,0.00 ден
11/4/2014,СВР БИТОЛА,ПС-ОН БИТОЛА,Кривични дела,Кривични дела за кои гонењето се превзема по службена должност,Тешка кражба,11/3/2014,8:00:00 PM,БИТОЛА,ул.Борка Левата бр.9,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово",40.00 ден,0.00 ден
11/4/2014,СВР БИТОЛА,ПС-ОН БИТОЛА,Кривични дела,Кривични дела за кои гонењето се превзема по службена должност,Тешка кражба,11/3/2014,8:50:00 PM,БИТОЛА, ул.„ Бул. 1-ви Мај“ бр. 322 ,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово","100,000.00 ден",0.00 ден
11/4/2014,СВР БИТОЛА,ПС-ОН БИТОЛА,Кривични дела,Кривични дела за кои гонењето се превзема по службена должност,Тешка кражба,11/4/2014,10:45:00 AM,БИТОЛА,сен.Златна осумка,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово","7,000.00 ден",0.00 ден
11/4/2014,СВР БИТОЛА,ПС-ОН БИТОЛА,Кривични дела,Кривични дела за кои гонењето се превзема по службена должност,Тешка кражба,11/4/2014,5:00:00 PM,БИТОЛА,К.Методиј,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово","2,500.00 ден",0.00 ден
11/4/2014,СВР БИТОЛА,ПС-ОН ПРИЛЕП,Кривични дела,Кривични дела во врска со семејно насилство,Телесна повреда - с.н.,11/4/2014,12:30:00 AM,ПРИЛЕП,ул.Гостиварска бр.42.,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово",0.00 ден,0.00 ден
11/4/2014,СВР БИТОЛА,ПС-ОН ПРИЛЕП,Кривични дела,Кривични дела за кои гонењето се превзема по приватна тужба,Кражба - п.т.,11/4/2014,8:00:00 AM,ПРИЛЕП,Блаже Темелкоски,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово","3,750.00 ден","3,750.00 ден"
11/4/2014,СВР БИТОЛА,ПС-ОН ПРИЛЕП,Кривични дела,Кривични дела за кои гонењето се превзема по приватна тужба,Кражба - п.т.,11/4/2014,12:15:00 PM,ПРИЛЕП,комплекс Маркови Кули,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово","10,000.00 ден","10,000.00 ден"
11/4/2014,СВР БИТОЛА,ПС-ОН ПРИЛЕП,Кривични дела,Кривични дела за кои гонењето се превзема по приватна тужба,Кражба - п.т.,11/4/2014,1:00:00 PM,ПРИЛЕП,м.в. Маркова Чешма.,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово","10,000.00 ден",0.00 ден
11/4/2014,СВР БИТОЛА,ПС-ОН ПРИЛЕП,Кривични дела,Кривични дела за кои гонењето се превзема по приватна тужба,Кражба - п.т.,11/4/2014,5:50:00 PM,ПРИЛЕП,м.в. Ленишка бара.,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово",600.00 ден,600.00 ден
11/4/2014,СВР БИТОЛА,ПС-ОН ПРИЛЕП,Кривични дела,Кривични дела за кои гонењето се превзема по службена должност,Измама,11/4/2014,2:00:00 PM,ПРИЛЕП,ул.Ленин бр.30,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово","90,000.00 ден","90,000.00 ден"
11/4/2014,СВР БИТОЛА,ПС-ОН ПРИЛЕП,Кривични дела,Кривични дела за кои гонењето се превзема по службена должност,Тешка кражба,11/4/2014,9:30:00 AM,ДОЛНЕНИ,патот за с.Новоселани.,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово",0.00 ден,0.00 ден
11/4/2014,СВР БИТОЛА,ПС-ОН МАКЕДОНСКИ БРОД,Кривични дела,Кривични дела за кои гонењето се превзема по приватна тужба,Кражба - п.т.,11/4/2014,2:00:00 PM,МАКЕДОНСКИ БРОД,Македонски Брод,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово","90,000.00 ден","9,000,000.00 ден"
11/3/2014,СВР БИТОЛА,ПС-ОН БИТОЛА,Кривични дела,Кривични дела за кои гонењето се превзема по приватна тужба,Оштетување туѓи предмети - п.т.,11/3/2014,2:40:00 PM,БИТОЛА, с.Лера,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово","6,000.00 ден",0.00 ден
11/3/2014,СВР БИТОЛА,ПС-ОН БИТОЛА,Кривични дела,Кривични дела за кои гонењето се превзема по приватна тужба,Телесна повреда - п.т.,11/3/2014,9:45:00 PM,БИТОЛА,ул.Мукос бр.128,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово",0.00 ден,0.00 ден
11/3/2014,СВР БИТОЛА,ПС-ОН БИТОЛА,Кривични дела,Кривични дела за кои гонењето се превзема по службена должност,Измама,11/3/2014,12:00:00 PM,МОГИЛА,с. Мусинци Могила,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово",0.00 ден,"6,000.00 ден"
11/3/2014,СВР БИТОЛА,ПС-ОН БИТОЛА,Кривични дела,Кривични дела за кои гонењето се превзема по службена должност,Кражба,11/3/2014,11:20:00 AM,БИТОЛА, Дом за стари лица „ Сју Рајдер“ Битола лоциран на ул. „Илинденска,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово",0.00 ден,"40,000.00 ден"
11/3/2014,СВР БИТОЛА,ПС-ОН БИТОЛА,Кривични дела,Кривични дела за кои гонењето се превзема по службена должност,Кражба,11/3/2014,6:20:00 PM,БИТОЛА,"ул.Димитар Илиевски Муратот бр.З-А/3,","6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово",0.00 ден,"12,000.00 ден"
11/3/2014,СВР БИТОЛА,ПС-ОН РЕСЕН,Прекршоци,Прекршоци против јавниот ред и мир,Нарушен ЈРМ со физички напад,11/3/2014,4:20:00 PM,РЕСЕН,"ул.Ленинова, крстосница со ул.Иво Лола Рибар.","6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово",0.00 ден,0.00 ден
11/3/2014,СВР БИТОЛА,ПО за БПС РЕСЕН,Примена на полициски овластувања,Извршени увиди,Извршени увиди по сообраќајни незгоди - со тешки телесни повреди,11/3/2014,2:30:00 PM,РЕСЕН,"ул.Ленинова, крстосница со ул.иво Лола Рибар.","6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово",0.00 ден,0.00 ден
11/3/2014,СВР БИТОЛА,ПС-ОН ПРИЛЕП,Кривични дела,Кривични дела за кои гонењето се превзема по приватна тужба,Кражба - п.т.,10/1/2014,12:00:00 AM,ПРИЛЕП,ул.Антон Панов бр.3,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово","3,500.00 ден","3,500.00 ден"
11/3/2014,СВР БИТОЛА,ПС-ОН ПРИЛЕП,Кривични дела,Кривични дела за кои гонењето се превзема по приватна тужба,Кражба - п.т.,11/2/2014,7:30:00 PM,ПРИЛЕП,"ул,,Вера Циривири“бр.42","6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово","2,000.00 ден","2,000.00 ден"
11/3/2014,СВР БИТОЛА,ПС-ОН ПРИЛЕП,Кривични дела,Кривични дела за кои гонењето се превзема по приватна тужба,Кражба - п.т.,11/2/2014,7:30:00 PM,ПРИЛЕП,ул.Пиринска бр.96,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово","2,000.00 ден",0.00 ден
11/3/2014,СВР БИТОЛА,ПС-ОН ПРИЛЕП,Кривични дела,Кривични дела за кои гонењето се превзема по приватна тужба,Кражба - п.т.,11/3/2014,8:00:00 AM,ПРИЛЕП,м.в. Поводеници,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово","7,000.00 ден","7,000.00 ден"
11/3/2014,СВР БИТОЛА,ПС-ОН ПРИЛЕП,Кривични дела,Кривични дела за кои гонењето се превзема по службена должност,Тешка кражба,11/2/2014,11:30:00 PM,ПРИЛЕП,"ул,,Војводинска“бр.8","6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово","6,000.00 ден","6,000.00 ден"
11/3/2014,СВР БИТОЛА,ПС-ОН ПРИЛЕП,Кривични дела,Кривични дела за кои гонењето се превзема по службена должност,Тешка кражба,11/3/2014,9:00:00 AM,ПРИЛЕП,ул.Октомвриска бр.61,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово","3,000.00 ден","3,000.00 ден"
11/3/2014,СВР БИТОЛА,ПС-ОН ПРИЛЕП,Кривични дела,Кривични дела за кои гонењето се превзема по службена должност,Тешка кражба,11/3/2014,10:00:00 AM,ПРИЛЕП,ул.11 Октомври бр.12/3,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово","2,000.00 ден","2,000.00 ден"
11/3/2014,СВР БИТОЛА,ПС-ОН ПРИЛЕП,Прекршоци,Прекршоци против јавниот ред и мир,Нарушен ЈРМ со физички напад,11/1/2014,3:00:00 PM,ПРИЛЕП,с.Мажучиште.,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово",0.00 ден,0.00 ден
11/3/2014,СВР БИТОЛА,ПС-ОН МАКЕДОНСКИ БРОД,Прекршоци,Прекршоци против јавниот ред и мир,Нарушен ЈРМ со физички напад,11/3/2014,8:15:00 AM,МАКЕДОНСКИ БРОД,Мак.Брод на ул.М.Тито кај Комерцијална банка,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово",0.00 ден,0.00 ден
11/3/2014,СВР БИТОЛА,ПС-ОН КРУШЕВО,Кривични дела,Кривични дела за кои гонењето се превзема по службена должност,Кражба,11/3/2014,8:30:00 AM,КРУШЕВО,Крушево СОУ .Наум.Н.Борче,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово","3,000.00 ден",0.00 ден
11/2/2014,СВР БИТОЛА,ПС-ОН БИТОЛА,Кривични дела,Кривични дела за кои гонењето се превзема по приватна тужба,Кражба - п.т.,11/2/2014,6:00:00 AM,БИТОЛА,ул.Булевар 1-ви Мај бр.353 г Битола(поранешна Треска),"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово",0.00 ден,"6,300.00 ден"
11/2/2014,СВР БИТОЛА,ПС-ОН БИТОЛА,Кривични дела,Кривични дела за кои гонењето се превзема по приватна тужба,Кражба - п.т.,11/2/2014,11:30:00 AM,БИТОЛА,ул.Кл.Охридски пред зграда бр.23.,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово",0.00 ден,"2,500.00 ден"
